graph_problem,object,solution depth,solution cost,solution path,nodes expanded,time
1400,best_first_search,2,20,"('State: 0, Extra: None -> 915', 'State: 915, Extra: None -> 401')",12972,0.052927
1400,bidirectional_best_first_search,2,20,"('State: 0, Extra: None -> 915', '915 -> State: 401, Extra: None')",297,0.0016878
1400,near_optimal_front_to_end_bidirectional_search,2,20,"('State: 0, Extra: None -> 915', '915 -> State: 401, Extra: None')",8603,4.6330784
1400,near_optimal_front_to_end_bidirectional_search_threads,2,20,"('State: 0, Extra: None -> 915', '915 -> State: 401, Extra: None')",8603,5.0251069
1500,bidirectional_breadth_first_search,3,37,"('State: 0, Extra: None -> 4', 'State: 4, Extra: None -> 77', '77 -> State: 323, Extra: None')",761,0.0021487
1500,best_first_search,2,21,"('State: 0, Extra: None -> 1216', 'State: 1216, Extra: None -> 323')",13819,0.1455052
1500,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 1216', '1216 -> State: 323, Extra: None')",294,0.0014767
1500,near_optimal_front_to_end_bidirectional_search,2,21,"('State: 0, Extra: None -> 1216', '1216 -> State: 323, Extra: None')",9638,5.7811904
1500,near_optimal_front_to_end_bidirectional_search_threads,2,21,"('State: 0, Extra: None -> 1216', '1216 -> State: 323, Extra: None')",9638,5.8513098
1600,bidirectional_breadth_first_search,3,37,"('State: 0, Extra: None -> 46', '46 -> State: 90, Extra: None', '90 -> State: 691, Extra: None')",1286,0.004072
1600,best_first_search,2,21,"('State: 0, Extra: None -> 1123', 'State: 1123, Extra: None -> 691')",18254,0.0650575
1600,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 1123', '1123 -> State: 691, Extra: None')",304,0.0016208
1600,near_optimal_front_to_end_bidirectional_search,2,21,"('State: 0, Extra: None -> 211', '211 -> State: 691, Extra: None')",6636,3.207066
1600,near_optimal_front_to_end_bidirectional_search_threads,2,21,"('State: 0, Extra: None -> 211', '211 -> State: 691, Extra: None')",6636,3.5260315
1700,bidirectional_breadth_first_search,3,36,"('State: 0, Extra: None -> 6', 'State: 6, Extra: None -> 102', '102 -> State: 630, Extra: None')",850,0.0032638
1700,best_first_search,2,21,"('State: 0, Extra: None -> 555', 'State: 555, Extra: None -> 630')",21278,0.0724451
1700,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 555', '555 -> State: 630, Extra: None')",336,0.0018862
1700,near_optimal_front_to_end_bidirectional_search,2,21,"('State: 0, Extra: None -> 555', '555 -> State: 630, Extra: None')",9251,6.8078227
1700,near_optimal_front_to_end_bidirectional_search_threads,2,21,"('State: 0, Extra: None -> 555', '555 -> State: 630, Extra: None')",9251,6.575029
1800,bidirectional_breadth_first_search,3,36,"('State: 0, Extra: None -> 9', 'State: 9, Extra: None -> 111', '111 -> State: 1161, Extra: None')",532,0.0017718
1800,best_first_search,2,20,"('State: 0, Extra: None -> 1101', 'State: 1101, Extra: None -> 1161')",16757,0.1673014
1800,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 158', '158 -> State: 1161, Extra: None')",356,0.0018197
1800,near_optimal_front_to_end_bidirectional_search,2,20,"('State: 0, Extra: None -> 1101', '1101 -> State: 1161, Extra: None')",11216,8.3880455
1800,near_optimal_front_to_end_bidirectional_search_threads,2,20,"('State: 0, Extra: None -> 1101', '1101 -> State: 1161, Extra: None')",11216,9.1171699
1900,bidirectional_breadth_first_search,3,37,"('State: 0, Extra: None -> 46', '46 -> State: 98, Extra: None', '98 -> State: 511, Extra: None')",1541,0.0051183
1900,best_first_search,2,20,"('State: 0, Extra: None -> 1572', 'State: 1572, Extra: None -> 511')",18824,0.0775869
1900,bidirectional_best_first_search,2,20,"('State: 0, Extra: None -> 1572', '1572 -> State: 511, Extra: None')",372,0.0019297
1900,near_optimal_front_to_end_bidirectional_search,2,20,"('State: 0, Extra: None -> 1572', '1572 -> State: 511, Extra: None')",12700,11.704134
1900,near_optimal_front_to_end_bidirectional_search_threads,2,20,"('State: 0, Extra: None -> 1572', '1572 -> State: 511, Extra: None')",12700,12.8933475
2000,bidirectional_breadth_first_search,2,26,"('State: 0, Extra: None -> 70', '70 -> State: 330, Extra: None')",601,0.0018953
2000,best_first_search,2,21,"('State: 0, Extra: None -> 440', 'State: 440, Extra: None -> 330')",29058,0.1177101
2000,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 440', '440 -> State: 330, Extra: None')",400,0.0023483
2000,near_optimal_front_to_end_bidirectional_search,2,21,"('State: 0, Extra: None -> 347', '347 -> State: 330, Extra: None')",14590,17.9887706
2000,near_optimal_front_to_end_bidirectional_search_threads,2,21,"('State: 0, Extra: None -> 347', '347 -> State: 330, Extra: None')",14590,17.9615045
